word,text_index,tag,freq,lemma,is_new_paragraph,sentence_number,completed_words
extraño,1,AQ0MS0,272,extranio,0,20,[raro raro extraño interesante raro particular que malo particular malo extraño extraño mágico extraño raro extraño extraño malo]
en,1,SPS00,116148,en,0,20,[en mientras en horrible en en en en en en en en en]
esto,1,PD0NS000,2270,este,0,20,
porque,1,CS,7511,porque,0,20,
desde,1,SPS00,4191,desde,0,20,
un,1,DI0MS0,60280,uno,0,20,
primer,1,AO0MS0,1948,1,0,20,
momento,1,NCMS000,2656,momento,0,20,[momento día momento plano momento momento momento momento momento momento momento momento omento momento momento momento momento plano momento momento momento momento momento momento]
comprendí,1,VMIS1S0,96,comprender,0,20,[supe sabia supe que supe supe supe empece sentí supe supe mi tuve me sentí comprendí me]
que,1,CS,57797,que,0,20,[que que que que que que que todo que que que que todo que que que]
estábamos,1,VAII1P0,236,estar,0,20,
vinculados,1,VMP00PM,20,vincular,0,20,
que,1,CS,57797,que,0,20,
algo,1,PI0CS000,2468,algo,0,20,
infinitamente,1,RG,51,infinitamente,0,20,
perdido,1,VMP00SM,533,perder,0,20,
y,1,CC,140290,y,0,20,
distante,1,AQ0CS0,81,distante,0,20,
seguía,1,VMII3S0,449,seguir,0,20,
sin,1,SPS00,8905,sin,0,20,
embargo,1,NCMS000,23,embargo,0,20,[suceder ser aparecer comprender duda aparecer alterar solución mostrarse descubrir ser importar descubrir descubrirse sentido ser tener saber poder resolver resolverse encontrar]
uniéndonos,1,VMG0000,1,unir,0,20,
Me,1,PP1CS000,18401,me,0,21,[siempre continué juntos un entonces luego cuando el era los yo comprendía después al curiosamente un entonces un me los]
había,1,VAII1S0,10950,haber,0,21,[parecida quede recordaba asombraba sentí dije imagine quede quede sorprendió quede]
bastado,1,VMP00SM,29,bastar,0,21,[convertido acostumbrado preguntado obsesionado a quedado quedado olvidado imaginado vuelto convertido entusiasmado conmovido bastado]
detenerme,1,VMN0000,14,detener,0,21,
aquella,1,DD0FS0,1956,aquel,0,21,
primera,1,AO0FS0,2029,1,0,21,[tarde tarde vez vez tarde mañana barra mañana mañana mañana mañana tarde mañana]
mañana,1,NCFS000,1112,maniana,0,21,[vez mañana vez vez vez vez mañana vez vez cuando vez tarde]
ante,1,SPS00,3083,ante,0,21,[de en ante ante invernal para para para allí en para]
el,1,DA0MS0,139088,el,0,21,[la aquel los ellos ellos ellos ellos el el semejante ellos el la la la los la]
cristal,1,NCMS000,249,cristal,0,21,[acuario axolotl gran frío ajolote acuario axolotl acuario acuario axolotl axolotl acuario acuario cual acuario acuario acuario acuario acuario acuario león tiempo acuario]
donde,1,PR000000,2818,donde,0,21,[para del a para que para de para de para limpio y de sucio para del para]
unas,1,DI0FP0,1932,uno,0,21,
burbujas,1,NCFP000,23,burbuja,0,21,
corrían,1,VMII3P0,54,correr,0,21,
en,1,SPS00,116148,en,0,21,
el,1,DA0MS0,139088,el,0,21,
agua,1,NCCS000,1479,agua,0,21,[viento agua aire agua acuario agua acuario agua vidrio agua agua vidrio agua agua agua fondo agua río]
Los,1,DA0MP0,79125,el,0,22,[a sin pero en vi entonces entre los entonces no allí supe ese sus]
axolotl,1,NCMS000,1,axolotl,0,22,[ajolotes axolotl axolotl otros axolotl ajolotes axolotl axolotls axolotl axolotl otros axolotl ajolotes axolotls axolotl axolotls axolotl destellos]
se,1,P00CN000,68376,se,0,22,[son son son se me me eran son me me quietos parecían son]
amontonaban,1,VMII3P0,12,amontonar,0,22,
en,1,SPS00,116148,en,0,22,
el,1,DA0MS0,139088,el,0,22,
mezquino,1,NCMS000,20,mezquino,0,22,[vidrio vidrio vidrio acuario agua vidrio mezquino agua cristal vidrio fondo cristal vidrio respiradero cristal agua fondo vidrio fondo vidrio vidrio acuario vidrio fondo]
y,1,CC,140290,y,0,22,[acuario espacio acuario aire humedal y acuario cristal acuario acuario lugar rincón estanque vidrio rincón acuario rincón]
angosto,1,AQ0MS0,16,angosto,0,22,[miraban sucio en pequeño recóndito esperaban descuidado pequeño frío oscuro oscuro yo escaso frío oscuro reducido]
sólo,1,RG,7159,solo,0,22,[espacio rincón acuario vidrio acuario estanque estanque acuario pasillo acuario acuario acuario pasadizo túnel acuario hueco charco río espacio sendero canal corredor]
yo,1,PP1CSN00,7844,yo,0,22,
